Municipality,Annual Electric Usage (MWh),Annual Electric Savings (MWh),Annual Electric Incentives ($),Annual Gas Usage (Therms),Annual Gas Savings (Therms),Annual Gas Incentives ($)
West Bridgewater,23765.737,58.776,453519.32,1015492.004,Suppressed,Suppressed
West Brookfield,12605.015,43.49,383777.423,277157.578,Suppressed,Suppressed
West Newbury,16380.006,-46.871,594957.112,161046.715,Suppressed,Suppressed
West Springfield,87691.201,514.503,2096746.339,5662662.422,72044.72,979334.211
West Stockbridge,7817.104,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
West Tisbury,22093.913,46.728,864275.18,No Gas,No Gas,No Gas
Westborough,57729.734,24.534,1243311.825,3346187.587,67127.309,834530.185
Westfield,Municipal,Municipal,Municipal,Municipal,Municipal,Municipal
Westford,74587.764,146.174,748928.536,5935452.59,97658.753,1677080.625
Westhampton,6660.981,19.19,271484.84,No Gas,No Gas,No Gas
Westminster,26144.107,-40.937,783021.176,302587.481,2347.464,30344.74
Weston,64770.216,68.149,338835.03,5648201.635,74131.385,707636.568
Westport,57711.954,135.761,1117030.677,3389315.571,45098.634,742801.12
Westwood,55900.721,72.761,1039755.43,2708079.141,39313.321,502368.061
Weymouth,155136.892,277.048,2044186.325,7891401.38,127698.687,1711105.475
Whately,4687,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Whitman,41724.214,4.536,767799.84,2306560.811,27062.529,485645.7
Wilbraham,46929.612,162.017,742723.709,2535461.896,32080.75,478879.012
Williamsburg,7747.525,-36.388,382130.157,No Gas,No Gas,No Gas
Williamstown,20084.654,-15.635,455147.358,1356965.2,4751.98,78630.04
Wilmington,Municipal,Municipal,Municipal,2040019.826,30061.733,381969.343
Winchendon,29416.408,47.096,925430.138,No Gas,No Gas,No Gas
Winchester,74004.67,169.471,802129.712,5836481.78,73247.347,869724.237
Windsor,3323.24,Suppressed,Suppressed,No Gas,No Gas,No Gas
Winthrop,40150.714,108.243,371753.16,4376285.295,79401.63,1056881.402
Woburn,114542.932,30.019,2216050.011,5596620.595,86877.275,1309159.344
Worcester,406178.409,1644.263,5915254.314,33796522.35,499303.754,8378206.27
Worthington,4614.563,Suppressed,Suppressed,No Gas,No Gas,No Gas
Wrentham,41560.558,4.578,667546.44,1428241.82,18227.22,275332.626
Yarmouth,94062.797,339.395,2665709.78,8534531.047,231356.972,3057354.964
